Lat,Lng,Alt,Spd
-117.6310119,0.25,0.07,308.14
-117.6310121,0.24,0.04,308.14
-117.6310123,0.24,0.13,308.14
-117.6310124,0.24,0.06,308.14
-117.6310125,0.24,0.11,308.14
-117.6310125,0.24,0.06,308.14
-117.6310126,0.24,0.03,308.14
-117.6310126,0.24,0.04,308.14
-117.6310127,0.25,0.03,308.14
-117.6310127,0.26,0.04,308.14
-117.6310128,0.27,0.07,308.14
-117.631013,0.28,0.06,308.14
-117.6310132,0.29,0.09,308.14
-117.6310133,0.29,0.04,308.14
-117.6310134,0.29,0.01,308.14
-117.6310134,0.29,0.03,308.14
-117.6310134,0.28,0.02,308.14
-117.6310134,0.28,0.07,308.14
-117.6310135,0.26,0.04,308.14
-117.6310135,0.25,0.06,308.14
-117.6310134,0.23,0.04,308.14
-117.6310132,0.21,0.01,308.14
-117.6310131,0.19,0.07,308.14
-117.631013,0.16,0.07,308.14
-117.6310129,0.14,0.04,308.14
-117.6310129,0.11,0.02,308.14
-117.6310129,0.09,0.02,308.14
-117.631013,0.08,0.12,308.14
-117.6310131,0.07,0.03,308.14
-117.6310132,0.06,0.02,308.14
-117.6310132,0.06,0.04,308.14
-117.6310133,0.06,0.03,308.14
-117.6310134,0.07,0.03,308.14
-117.6310135,0.08,0.07,308.14
-117.6310135,0.09,0.08,308.14
-117.6310135,0.1,0.03,308.14
-117.6310135,0.12,0.03,308.14
-117.6310135,0.14,0.07,308.14
-117.6310135,0.15,0.01,308.14
-117.6310135,0.17,0.07,308.14
-117.6310136,0.18,0.04,308.14
-117.6310137,0.2,0.03,308.14
-117.6310138,0.2,0.03,308.14
-117.6310137,0.21,0.04,308.14
-117.6310138,0.2,0.06,308.14
-117.6310138,0.19,0.09,308.14
-117.6310137,0.18,0.06,308.14
-117.6310137,0.17,0.07,308.14
-117.6310136,0.16,0.09,308.14
-117.6310136,0.15,0.11,308.14
-117.6310136,0.15,0.02,308.14
-117.6310136,0.14,0.03,308.14
-117.6310137,0.13,0.04,308.14
-117.6310136,0.13,0.04,308.14
-117.6310135,0.13,0.06,308.14
-117.6310135,0.13,0.04,308.14
-117.6310136,0.14,0.02,308.14
-117.6310135,0.14,0.07,308.14
-117.6310133,0.15,0.07,308.14
-117.6310131,0.16,0.07,308.14
-117.6310129,0.17,0.04,308.14
-117.631013,0.17,0.04,308.14
-117.631013,0.17,0.06,308.14
-117.6310129,0.17,0.04,308.14
-117.6310129,0.17,0.09,308.14
-117.6310127,0.16,0.09,308.14
-117.6310126,0.15,0.03,308.14
-117.6310128,0.14,0.07,308.14
-117.6310127,0.13,0.04,308.14
-117.6310127,0.12,0.04,308.14
-117.6310127,0.11,0.04,308.14
-117.6310125,0.11,0.04,308.14
-117.6310123,0.1,0.02,308.14
-117.6310122,0.09,0.04,308.14
-117.6310121,0.08,0.04,308.14
-117.6310121,0.08,0.02,308.14
-117.6310121,0.09,0.03,308.14
-117.6310121,0.09,0.03,308.14
-117.631012,0.1,0.04,308.14
-117.631012,0.11,0.02,308.14
-117.6310119,0.12,0.04,308.14
-117.6310119,0.13,0.03,308.14
-117.6310118,0.14,0.06,308.14
-117.6310117,0.14,0.04,308.14
-117.6310116,0.15,0,308.14
-117.6310115,0.15,0.02,308.14
-117.6310114,0.15,0.02,308.14
-117.631011,0.15,0.02,308.14
-117.6310107,0.16,0.02,308.14
-117.6310105,0.16,0.06,308.14
-117.6310104,0.17,0.01,308.14
-117.6310103,0.17,0.06,308.14
-117.6310102,0.18,0.01,308.14
-117.6310101,0.18,0.03,308.14
-117.6310101,0.18,0.06,308.14
-117.63101,0.18,0.02,308.14
-117.6310099,0.18,0.04,308.14
-117.6310097,0.17,0.03,308.14
-117.6310097,0.16,0.04,308.14
